ID,Name,Cuisine,Website
027687d6-34f3-4b54-abeb-2a29ca488e64,El Toro II,mexican,http://www.eltororestaurante.com/
028ab5ab-2d99-4185-92ab-47391fab4aab,Taco Shack,mexican,http://tacoshackchampaign.square.site/
029db49b-2006-4283-ba72-988e4223cda6,Sushi Siam,sushi,http://sushisiam.net/
02d87226-749e-4577-8101-f7f864a9121c,Biaggi's Ristorante Italiano,italian,http://www.biaggis.com/
02fb03a3-d8e9-4ec1-8c76-bac21219e6ba,Jimmy John's,sandwich shop,https://locations.jimmyjohns.com/il/urbana/sandwiches-9008.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link
0316dbd6-015f-46c0-9467-07f061e70007,Star Karaoke,korean,https://www.starkaraokemenu.com/
0316dd34-595f-4165-81f0-e179d21a58be,Applebee's Grill + Bar,,https://restaurants.applebees.com/en-us/il/champaign/2121-n.-prospect-93091?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=93091&utm_content=website
032900f9-6285-42e4-a664-bba64282417f,Maize at the Station,mexican,http://www.maizemexicangrill.com/
079965ba-8b88-4f7f-abec-5d75377298f3,Culver's,american,http://www.culvers.com/restaurants/urbana-il-w-university-ave?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places
07b903ce-154e-492f-9d3d-c1aaa7c2f460,Jip Bap,korean,http://www.jipbapcu.com/
08b72d2a-e528-4675-81e2-e0a13e8c0f0e,Signature Grill,,http://thesignaturegrill.com/
093bb670-6a58-4b08-a40b-8f666b96978b,Chili's Grill & Bar,tex-mex,https://www.chilis.com/locations/us/illinois/champaign/champaign
0a5c264f-839f-4321-8155-0cc5d418aba5,Kung Fu BBQ,,http://www.kungfuhotpot.us/
0a6adae6-1a57-4388-b551-4fafef43c932,Dos Reales Mexican Restaurant,,
0aa92b56-7e8e-4156-ae8e-b27a3de0d58e,Guido's Bar & Grill,bar & grill,http://www.guidosbar.com/
0aae0541-025d-440b-b5d6-9f9272678248,Tropical Smoothie Cafe,,https://locations.tropicalsmoothiecafe.com/il/urbana/1401-west-green-street?y_source=1_MjQ5MTcyNjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
0b1c0b8e-951b-4ea2-9fbc-6d85bbb65d33,Fiesta Cafe,mexican,https://www.fiestacafe.com/
0c3124dd-81d9-4a8a-a638-3592ccb174a4,Eighty-Three Vietnamese Cuisine,,https://www.83viet.com/
0cb36db9-13aa-4cd9-ae0f-3ed97d3ed801,BrewLab Coffee,coffee shop,https://brewlab.coffee/
0e40605d-8e5a-4edf-8df0-34c359e91b8b,Chick Shack/Campus Burger,hamburger,http://www.campusburgeril.com/
0e7b1fe6-002a-4cab-b07b-0d5ea92c1778,Bangkok Thai Restaurant & Pho 911,thai,
0f783417-d41e-496e-9291-d27cb30207d9,Dunkin',coffee shop,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=336486
0f8f208c-377c-4af9-811e-471b49cd6cc8,Hickory River Smokehouse,barbecue,https://www.hickoryriver.com/locations/illinois/urbana/overview.html
0fe46aff-43ca-4ba7-a375-0c7068419ee5,Bangkok Thai & PHO911#2,thai,
10028871-34fd-4415-bdb5-98f843db9c08,Northern Cuisine,chinese,
120eb6ac-df37-430d-b019-72d108272dc7,Jerusalem Middle Eastern Cuisine,middle eastern,http://jerusalem-cuisine.keeq.io/
140ef96a-2eb9-4ef3-bcc6-243247a7bb96,Apple Dumpling,american,
1453a83c-c681-47ca-bfb4-0abad38a3272,Baxters American Grille,american,https://baxtersgrille.com/
147e1658-1cb8-49d5-be51-4eedd63969a2,Thorntons,convenience store,https://www.thorntonsinc.com/
150673ce-307f-4697-afc1-f94bf2eb1dc3,Tres nopales,mexican,https://tres-nopales.business.site/?utm_source=gmb&utm_medium=referral
16c83c0b-2c63-4c38-805a-0afb016513d9,Dairy Queen Grill & Chill,fast food,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=7955&y_source=1_ODk5NDgyMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
178e4690-cab1-4b1d-bd1a-161b72bdaaf8,Blaze Pizza,pizza,http://www.blazepizza.com/locations/champaign/
18114bcc-b21b-44e2-819b-56a84b64c2ed,Big J J Fish & Chicken,american,
18186264-20a7-4c68-8aef-0b86fbdf344a,Fat Sandwich Company,american,https://fatsandwichchampaignil.com/
1b591dd6-265c-4df8-8f74-42799eda2b2f,Bunny's Tavern,,http://bunnystavern.com/
1caca6ed-f3a9-43a6-ba48-740167121182,El Paraiso,,
1d4ac80f-cc17-460f-8dd2-271b535dcbc1,Ming Garden,chinese,
1df26ff8-2673-4f67-9781-430c7253fef3,Arby's,fast food,https://locations.arbys.com/il/champaign/2310-s-neil-st.html
1e5aff7d-157e-43d1-a7b2-60df14ba805a,Pizza Hut,pizza delivery,https://locations.pizzahut.com/il/champaign/409-n-mattis-ave?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=291851
214178a5-7dcd-4dea-8049-5b18f24b52b8,A-Ri-Rang,korean,http://www.a-ri-rang.com/
229f8bef-2a87-4081-ade1-c486c092980e,Schnucks Champaign,grocery store,https://locations.schnucks.com/il-champaign-707
238786f3-1766-405f-a297-5f8f5224ba13,Hot Wok Express,chinese,https://www.hotwokexpressil.com/
258c3280-a89c-4e3c-b911-7e558b09f96e,Lai Lai Wok,chinese,http://www.lailaiwokchampaign.com/
25c84fa4-bac7-495b-a467-bed7a5455ef1,Rosati's Pizza,pizza,http://www.myrosatis.com/urbana
274bdb8c-d746-40f7-ae00-781d28fecbea,Sonic Drive-In,fast food,https://locations.sonicdrivein.com/il/champaign/601-north-mattis-avenue.html
284e11ea-2f2a-4a4f-b88a-4b97c5473b4c,Bobo's Barbecue,barbecue,https://bobosbbqchampaign.com/
289c8ae0-6c2e-48bf-89a7-ab7f1f780a06,AM-KO Oriental Foods & Gifts,grocery store,https://www.amkogrocery.com/
2aa4cdb6-6e9d-4c1e-9848-e5a5f7ccf26f,Cravings,chinese,https://cravings2538.com/
2b92c1ae-5085-4093-9680-df49736e89ac,Silvercreek,,https://www.couriersilvercreek.com/
2c78d28b-4aa0-4518-8134-81a5ea2a14b4,Black Dog Smoke & Ale House,barbecue,http://www.blackdogsmoke.com/
2dd25707-ce6a-4695-adcf-b1dc52516514,Restaurant Aunty Lee's,chinese,https://auntieleestogo.com/
2fb4df87-32d8-48a7-aeb9-78c9d79105ff,Sweet Basil Cafe of Champaign,,http://www.sweetbasilcafes.com/
307fb45b-81e5-4a07-b033-399b589e1153,Caffe Paradiso,coffee shop,http://www.enjoyparadiso.com/
32d1ae75-d1d2-4f9c-88ac-5a57916efe0c,Garcia's Pizza In A Pan,pizza,https://garciaspizzainapanchampaign.com/6356
33fb1f35-bb05-4f68-ae69-2125b083a1b9,Cracked the Egg Came First,breakfast,http://www.crackedongreen.com/
3448dc66-b51b-4a2c-8ade-9399197ba2b5,Red Robin Gourmet Burgers and Brews,,https://www.redrobin.com/locations/il/champaign/champaign-725
34944616-b7a6-4372-a0da-d027bb02e52e,First Wok,takeout ,http://www.firstwokil.com/
34d0a0eb-6b28-4005-bcdc-e0b45dfba79e,Hamilton Walker's,steak house,http://www.hamiltonwalkers.com/
354ea76e-4f32-4f00-9e4c-ac3a5659af27,Maize Mexican Grill,mexican,http://www.maizemexicangrill.com/
362748f3-ece7-4b70-8e5d-2025f5acae41,Panera Bread,cafe,https://locations.panerabread.com/il/champaign/1903-convenience-place.html?utm_medium=yext&utm_source=local&utm_campaign=yext&utm_content=local-search
375571d7-9782-4610-ad89-b977106863ef,Sam's Cafe,diner,https://www.facebook.com/samscafechampaign/
37c752fe-54d4-4dec-92e8-96cf442f9882,Murphy's Pub,bar,http://murphyspubuofi.com/
382bf8b5-9425-4c7a-97ce-d7a3f97aa74b,Sunny China Buffet,chinese,https://www.sunnychinabuffet.com/
3a9b4aa1-2577-4947-917c-df21a896e405,El Oasis,ice cream shop,https://www.facebook.com/El.Oasis.in.Urbana.IL/
3d4a0814-4241-483a-a714-6f4f5261b594,Big Grove Tavern,american,http://www.biggrovetavern.com/
3e4aa3e1-1ecf-4b25-b7a5-70172e25d274,Neil St Blues,,https://www.neilstblues.com/
3ee75667-9832-401f-975b-3a5b22ccc765,Thara Thai Restaurant,thai,http://tharathairestaurant.com/
41adb3d7-9c3b-418e-95ec-f74485e39332,Broadway Food Hall,,http://broadwayfoodhall.com/
422db1c1-8fbc-4607-83ec-38a1c4b4d434,Cheese & Crackers,deli,http://www.crackerscheese.com/
42c60d7c-8150-4bfc-aabd-f01180a60ebc,La Mixteca Restaurant,mexican,http://lamixtecarestaurant.net/
443e67fa-6327-4738-8be4-7eb37cad3c59,Siam Terrace,thai,https://www.siamterraceurbana.com/
44722219-fbbd-4974-a6aa-dc17c87d967e,KoFusion Urbana,,https://www.kofusioncampus.com/
44b53c27-9cec-4986-b0a8-4cd5da83e5e8,The Bread Company,bistro,http://www.thebread.co/
44d13356-6e90-4ddb-b2bb-968c37fec8c5,Wienerschnitzel,fast food,http://www.wienerschnitzel.com/
44f4f47e-5208-4f81-bdfe-e89a606b29b1,LongHorn Steakhouse,steak house,https://www.longhornsteakhouse.com/locations/il/champaign/champaign/5404?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:champaign-il-5404_pl:locurl_rd:1347
46433fc1-d78a-4613-a740-432fa6f835ed,The Empanadas House,south american,http://www.theempanadashousechampaign.com/
472c1524-9b73-45d3-929b-7c56f6e7f9a7,The Wild Hare Bar and Grill,bar & grill,
4736da51-895e-43ca-a17d-42c892708bee,QDOBA Mexican Eats,mexican,https://locations.qdoba.com/us/il/urbana/1401-w-green-st.html
49eb8eb1-05a3-486d-b761-ecba6f566a04,It's Just Wings,chicken wings,https://locations.itsjustwings.com/location/IJW0010051763/?utm_campaign=localmaps
4dca46fb-2f7f-4722-ac35-41908470a24e,Einstein Brothers Bagels,cafe,https://www.einsteinbros.com/
4ec0f281-7296-4c9e-af77-213edaf91d2d,Mahomet Family Restaurant,family,https://mahometfamilyrestaurant.com/
4f881ffd-998b-4491-aa4d-67637186a364,Crane Alley,gastropub,http://crane-alley.com/
4f97a2f2-9398-461a-96b5-73a1824913ab,Baldarotta's Porketta & Sicilian Sausage,sandwich shop,http://www.baldarottas.com/
51afd236-ec90-4ffb-b909-8cda081ae6f2,Sarku Japan,japanese,https://www.sarkujapan.com/
51fc3da8-5555-411d-aa7d-ed5decb4f150,The Ribeye,steak house,http://theribeyerestaurant.org/
5562f96a-b31b-4491-a22d-4f83cf2fafb9,NAYA Bar & Eatery,bar & grill,http://nayarestaurant.com/
58c2ef76-beb1-4ba5-b503-29e883b2ee48,Xinh Xinh Cafe,vietnamese,http://www.xinhxinhcafeurbana.com/?utm_source=gmb&utm_medium=website
58e40c65-6569-46b2-a6fd-ffb01f16dd70,Rainbow Garden,chinese,https://rainbowgardenurbana.carry-out.com/default.asp
59242a44-89e0-4701-babf-aae0b0db8a0b,Monical's Pizza,pizza,https://www.monicals.com/locations/monicals-pizza-of-urbana
5a715b49-fc94-4df0-800b-6273b1e369cc,Watson's Shack & Rail,chicken,http://www.watsonschicken.com/
5aae94b2-0602-4e66-b09d-7097244d112f,Aspen Tap House,,https://aspentaphouse.com/
5c437a4b-8f33-4dc3-8670-63952c149754,Kung Fu Tea,bubble tea store,https://kungfutea.com/
5e41341c-aa14-4347-83c9-9202addac97d,Shawarma Joint,middle eastern,https://www.ordershawarmajoint.com/
5e556dbc-51c4-4d7e-8400-0cd44af9bd86,Cactus Grill,tex-mex,http://www.cactusgrillchampaign.com/
5e80150b-2fa4-461e-84fe-b88d161056de,Pekara Bakery And Bistro,,https://pekarabakery.com/
5eb9ffb4-d37a-4160-ad0a-acd60d5658bf,Boomerangs Bar & Grill,bar & grill,http://www.boomerangsbarandgrill.com/
6061755c-91d8-4b43-8069-c90b97bc1b09,Cafe Sababa,vegetarian,https://www.illinihillel.org/cafesababa
61b7940d-74b2-4edd-8653-7d504ea2582e,Stango Cuisine,african,http://stangocu.com/
630fcf52-8d5a-4be1-9b02-fea793cd7605,Top Food Restaurant - 闽江楼,,https://www.topfoodrestaurant.com/
67083e98-2811-440f-bf06-075542ff24c1,Buffalo Wild Wings,chicken wings,https://www.buffalowildwings.com/en/locations/detail/3092/?utm_source=google&utm_medium=organic&utm_campaign=rio
689d2091-4329-4455-ac70-67afb849b6d9,Panda Express,chinese,https://www.pandaexpress.com/userlocation/2836/IL/Urbana/106-E-University-Ave
6d00e434-797d-4596-b07b-4b912084ed08,NOLA's Rock Bar,,https://nolasrockbar.com/
70114697-e71b-40ca-ad91-17063569d022,Little Caesars Pizza,pizza,https://littlecaesars.com/en-us/store/10838
7123acc5-ad3d-49e8-8127-8a2284ca24a0,Mandarin Wok,chinese,https://order.online/store/mandarin-wok-157828
7154e35e-3f54-4bc3-a1a1-9335b63f18a9,Papa John's Pizza,pizza,https://locations.papajohns.com/united-states/il/61801/urbana/1307-e-florida-ave?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTA5MDQtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
71fda932-b61e-413d-81c1-5861d628de15,Shiquan,chinese,https://shiquaniltogo.com/
727252b8-2f6d-4404-b96f-ad769a4f181c,Wendy's,fast food,https://locations.wendys.com/united-states/il/urbana/505-n-cunningham?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US
729cf04e-8203-4001-a681-b6191d4011c8,Five Guys,hamburger,https://restaurants.fiveguys.com/901-b-west-anthony-drive
7350af1a-8a53-4d4e-b9cd-f62671a4368d,Jet's Pizza,pizza,https://www.jetspizza.com/stores/illinois/champaign/512-s-neil-st/?utm_source=GMB&utm_medium=GMB-SEO&utm_campaign=IL-008&utm_content=Website
73fb2af0-0293-4aea-aedc-7d1b44b3c11a,Aroma Cafe,,https://www.aroma-cafe.com/
77825645-c1a5-4c73-a76c-e56e840bc490,Chipotle Mexican Grill,mexican,https://locations.chipotle.com/il/champaign/528-e-green-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
78502a34-e27f-41b6-8bc6-13c75103dcb5,Einstein Bros. Bagels,bagel shop,https://locations.einsteinbros.com/us/il/champaign/803-w-anthony-dr?y_source=1_OTA1MDEwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
7a3c27ff-463b-4982-8f2a-ec5ef498f477,Sushi Ichiban,sushi,https://www.sushiichiban.net/
7c15199c-f990-4c21-a682-aa5f2e4c4b05,Four Breakfast & More,breakfast,https://www.facebook.com/fourbreakfastandmore/
7c50cbc7-e785-4052-bd69-4f744caecb1c,Steak 'n Shake,hamburger,http://www.steaknshake.com/locations/23413-steak-n-shake-kenyon-road-urbana
7c66b81e-ef1d-4c1a-8847-b92f8293466b,Chick-fil-A,fast food,https://www.chick-fil-a.com/champaignil
7cd7a32f-390a-4cca-809c-3e7c13979db1,Jumbo Crab,seafood,http://www.jumbocrabchampaign.com/
7d0123b8-2007-4bae-b8e4-2e27ce74622d,Rumberger's Wings - Champaign,chicken wings,https://www.rumbergerswings.com/
7d808b9c-c5d1-4ec5-b951-4d248160f503,Wood N’ Hog BBQ,barbecue,http://www.woodnhogbarbecue.com/
7ecd22a6-14a8-4792-bea8-58dc8fb704b6,Jupiter's At The Crossing,pizza,http://jupitersatcrossing.com/
7f923c86-5a4b-4cac-87e0-6cc88cf27cea,Chinatown Buffet,buffet,
7fe1cc3b-5048-44dd-9274-fa296ac8c3c7,Golden Wok,chinese,
7fe8a421-07a8-4ba0-be1c-3791babfddec,Captain D's,seafood,https://locations.captainds.com/ll/US/IL/Champaign/1409--N_-Prospect-Ave
8181bd2f-3f33-4200-b9af-224a8b8dd537,Mia Za's,italian,http://www.miazas.com/
828bb0c2-179a-4ed4-977e-25c7faba821b,Array Cafe,cafe,https://www.igb.illinois.edu/facilities-services/array-cafe
82fa5833-00da-4401-aab6-6d55f2b86db3,Garbanzo Mediterranean Fresh,fast food,http://www.eatgarbanzo.com/
